idna_subject,checker_type,destination,tested_at
30,AVAILABILITY,origin.list,2021-06-11 17:02:45.867184
[adblock,AVAILABILITY,origin.list,2021-06-11 17:02:49.128591
plus,AVAILABILITY,origin.list,2021-06-11 17:02:53.131260
2.0],AVAILABILITY,origin.list,2021-06-11 17:02:56.391715
!,AVAILABILITY,origin.list,2021-06-11 17:02:59.654900
version:,AVAILABILITY,origin.list,2021-06-11 17:03:02.915496
201812140827,AVAILABILITY,origin.list,2021-06-11 17:03:07.017684
title:,AVAILABILITY,origin.list,2021-06-11 17:03:10.279523
x,AVAILABILITY,origin.list,2021-06-11 17:03:14.131009
files:,AVAILABILITY,origin.list,2021-06-11 17:03:17.392963
nofacebookads,AVAILABILITY,origin.list,2021-06-11 17:03:21.561060
nfa:,AVAILABILITY,origin.list,2021-06-11 17:03:24.823060
rimuovi,AVAILABILITY,origin.list,2021-06-11 17:03:28.735514
la,AVAILABILITY,origin.list,2021-06-11 17:03:32.915480
spazzatura,AVAILABILITY,origin.list,2021-06-11 17:03:36.844773
da,AVAILABILITY,origin.list,2021-06-11 17:03:40.747696
facebook!,AVAILABILITY,origin.list,2021-06-11 17:03:44.006267
last,AVAILABILITY,origin.list,2021-06-11 17:03:48.306909
modified:,AVAILABILITY,origin.list,2021-06-11 17:03:51.566045
14-12-2018,AVAILABILITY,origin.list,2021-06-11 17:03:54.895641
expires:,AVAILABILITY,origin.list,2021-06-11 17:03:58.152240
days,AVAILABILITY,origin.list,2021-06-11 17:04:02.265800
homepage:,AVAILABILITY,origin.list,2021-06-11 17:04:05.524187
home:,AVAILABILITY,origin.list,2021-06-11 17:04:08.782562
blog:,AVAILABILITY,origin.list,2021-06-11 17:04:12.041206
hosting,AVAILABILITY,origin.list,2021-06-11 17:04:16.203631
lista:,AVAILABILITY,origin.list,2021-06-11 17:04:19.462034
@@||www.facebook.com/ads/$elemhide,AVAILABILITY,origin.list,2021-06-11 17:04:22.720752
"@@||www.facebook.com/ajax/ads/$xmlhttprequest,domain=www.facebook.com",AVAILABILITY,origin.list,2021-06-11 17:04:25.979846
/hads-,AVAILABILITY,origin.list,2021-06-11 17:04:29.242308
"m.facebook.com,touch.facebook.com",AVAILABILITY,origin.list,2021-06-11 17:04:32.500344
||atdmt.com^$third-party,AVAILABILITY,origin.list,2021-06-11 17:04:35.759828
||fbcdn.net^*/flyers/$domain=facebook.com,AVAILABILITY,origin.list,2021-06-11 17:04:39.019242
